PLAYER,TEAM,Isolation,P&R Handler,P&R Roll,Transition,Post Up,Spot Up,HandOff,Cut,Season,Cluster
Domantas Sabonis,IND,0.01,0.0,0.303,0.063,0.171,0.106,0.0,0.154,2020,3
Rudy Gobert,UTA,0.0,0.0,0.274,0.075,0.043,0.0,0.0,0.274,2020,2
Hassan Whiteside,POR,0.016,0.0,0.274,0.024,0.118,0.029,0.0,0.208,2020,2
Jarrett Allen,BKN,0.0,0.0,0.293,0.251,0.0,0.016,0.0,0.266,2020,2
Maxi Kleber,DAL,0.0,0.0,0.257,0.075,0.0,0.419,0.0,0.081,2020,5
Jonas Valanciunas,MEM,0.024,0.0,0.186,0.063,0.235,0.086,0.0,0.139,2020,3
LaMarcus Aldridge,SAS,0.022,0.0,0.221,0.042,0.322,0.161,0.0,0.07,2020,3
Myles Turner,IND,0.0,0.0,0.267,0.062,0.148,0.258,0.0,0.094,2020,5
Steven Adams,OKC,0.022,0.0,0.225,0.061,0.233,0.0,0.0,0.148,2020,3
Mitchell Robinson,NYK,0.0,0.0,0.26,0.092,0.0,0.0,0.0,0.202,2020,2
Thomas Bryant,WAS,0.0,0.0,0.285,0.141,0.054,0.15,0.0,0.152,2020,2
Daniel Theis,BOS,0.0,0.0,0.275,0.07,0.0,0.145,0.0,0.245,2020,2
Brook Lopez,MIL,0.02,0.0,0.155,0.13,0.177,0.282,0.036,0.079,2020,5
Deandre Ayton,PHO,0.0,0.0,0.183,0.077,0.222,0.058,0.0,0.203,2020,3
Ivica Zubac,LAC,0.0,0.0,0.227,0.096,0.066,0.025,0.0,0.219,2020,2
Aron Baynes,PHO,0.0,0.0,0.263,0.051,0.09,0.206,0.0,0.122,2020,5
P.J. Washington,CHA,0.031,0.0,0.19,0.106,0.148,0.332,0.0,0.082,2020,5
Derrick Favors,NOP,0.0,0.0,0.278,0.067,0.043,0.031,0.0,0.278,2020,2
Marc Gasol,TOR,0.0,0.0,0.267,0.128,0.128,0.242,0.0,0.064,2020,5
Dario Saric,PHO,0.023,0.028,0.107,0.114,0.097,0.309,0.018,0.138,2020,5
Kelly Olynyk,MIA,0.0,0.0,0.134,0.128,0.043,0.339,0.072,0.082,2020,5
